"yearid","name","num_wins","total_salaries","win_rank","salary_rank"
2015,"Houston Astros","86","$72,256,200.00","10","26"
2015,"Los Angeles Angels of Anaheim","85","$120,005,415.00","11","9"
2015,"San Francisco Giants","84","$164,701,500.00","12","5"
2015,"Minnesota Twins","83","$107,755,000.00","13","19"
2015,"Washington Nationals","83","$155,587,472.00","13","6"
2015,"Cleveland Indians","81","$87,663,766.00","15","24"
2015,"Baltimore Orioles","81","$115,044,833.00","15","13"
2015,"Tampa Bay Rays","80","$64,521,233.00","17","29"
2015,"Arizona Diamondbacks","79","$61,834,000.00","18","30"
2015,"Boston Red Sox","78","$181,103,400.00","19","3"
2015,"Seattle Mariners","76","$122,208,700.00","20","8"
2015,"Chicago White Sox","76","$112,373,700.00","20","16"
2015,"San Diego Padres","74","$118,441,300.00","22","11"
2015,"Detroit Tigers","74","$172,284,750.00","22","4"
2015,"Miami Marlins","71","$68,056,500.00","24","28"
2015,"Oakland Athletics","68","$79,053,501.00","25","25"
2015,"Milwaukee Brewers","68","$100,850,000.00","25","20"
2015,"Colorado Rockies","68","$95,688,600.00","25","22"
2015,"Atlanta Braves","67","$71,781,250.00","28","27"
2015,"Cincinnati Reds","64","$113,072,286.00","29","14"
2015,"Philadelphia Phillies","63","$111,693,000.00","30","18"
2016,"Chicago Cubs","103","$154,067,668.00","1","8"
2016,"Washington Nationals","95","$141,652,646.00","2","10"
2016,"Texas Rangers","95","$176,038,723.00","2","5"
2016,"Cleveland Indians","94","$74,311,900.00","4","26"
2016,"Boston Red Sox","93","$188,545,761.00","5","4"
2016,"Los Angeles Dodgers","91","$221,288,380.00","6","2"
2016,"Toronto Blue Jays","89","$138,701,700.00","7","11"
2016,"Baltimore Orioles","89","$161,863,456.00","7","7"
2016,"San Francisco Giants","87","$172,253,778.00","9","6"
2016,"New York Mets","87","$133,889,129.00","9","14"
2016,"St. Louis Cardinals","86","$143,053,500.00","11","9"
2016,"Detroit Tigers","86","$194,876,481.00","11","3"
2016,"Seattle Mariners","86","$135,683,339.00","11","13"
2016,"Houston Astros","84","$94,893,700.00","14","21"
2016,"New York Yankees","84","$222,997,792.00","14","1"
2016,"Kansas City Royals","81","$131,487,125.00","16","15"
2016,"Miami Marlins","79","$77,314,202.00","17","25"
2016,"Chicago White Sox","78","$112,998,667.00","18","16"
2016,"Pittsburgh Pirates","78","$103,778,833.00","18","18"
2016,"Colorado Rockies","75","$112,645,071.00","20","17"
2016,"Los Angeles Angels of Anaheim","74","$137,251,333.00","21","12"
2016,"Milwaukee Brewers","73","$68,775,237.00","22","27"
2016,"Philadelphia Phillies","71","$58,980,000.00","23","29"
2016,"Arizona Diamondbacks","69","$87,439,063.00","24","23"
2016,"Oakland Athletics","69","$86,806,234.00","24","24"
2016,"Tampa Bay Rays","68","$57,097,310.00","26","30"
2016,"Cincinnati Reds","68","$88,940,059.00","26","22"
2016,"Atlanta Braves","68","$68,498,291.00","26","28"
2016,"San Diego Padres","68","$101,424,814.00","26","20"
2016,"Minnesota Twins","59","$102,583,200.00","30","19"
